Name,Selected
Nifty Indices,false
FnO Stocks,true
NSE Stocks,false
BSE Stocks,false
Favorites,false
Signals,false
Trades,false
Nifty Next 50,false
Nifty FMCG,false
Nifty Alpha 50,false
Nifty Midcap 100,false
Nifty Bank,false
Nifty Energy,false
Nifty IT,false
Nifty100 Equal Weight,false
Nifty Services Sector,false
Nifty MNC,false
Nifty 100,false
Nifty Auto,false
Nifty Private Bank,false
Nifty 50,false
Nifty Financial Services,false
Nifty 500,false
Nifty Pharma,false
Nifty Midcap 150,false
Nifty 100 Low Volatility 30,false
Nifty MidSmallcap 400,false
Nifty Smallcap 100,false
Nifty Smallcap 250,false
Nifty Midcap 50,false
Nifty LargeMidcap 250,false
Nifty India Manufacturing Index,false
Nifty 200,false
Nifty50 Value 20,false
Nifty Midcap Liquid 15,false
Nifty Oil & Gas,false
Nifty Growth Sectors 15,false
Nifty India Consumption,false
Nifty PSE,false
Nifty Commodities,false
Nifty Smallcap 50,false
Nifty Infrastructure,false
Nifty Metal,false
Nifty CPSE,false
Nifty100 Liquid 15,false
Nifty Dividend Opportunities 50,false
Nifty PSU Bank,false
Nifty Quality 30,false
Nifty Media,false
Nifty Realty,false
